# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.0104774   26811.9
0.0105016   26823.4
0.0105258   26834.8
0.0105501   26846.1
0.0105744   26857.4
0.0105988   26868.6
0.0106232   26879.7
0.0106477   26890.8
0.0106723   26901.7
0.0106969   26912.6
0.0107215   26923.4
0.0107463   26934.1
0.0107711   26944.7
0.0107959   26955.3
0.0108208   26965.7
0.0108457   26976.1
0.0108707   26986.4
0.0108958   26996.6
0.0109209   27006.8
0.0109461   27016.8
0.0109713   27026.8
0.0109966   27036.7
0.011022   27046.5
0.0110474   27056.2
0.0110729   27065.8
0.0110984   27075.4
0.011124   27084.8
0.0111497   27094.2
0.0111754   27103.5
0.0112011   27112.7
0.011227   27121.9
0.0112529   27130.9
0.0112788   27139.9
0.0113048   27148.8
0.0113309   27157.6
0.011357   27166.3
0.0113832   27174.9
0.0114094   27183.4
0.0114357   27191.9
0.0114621   27200.2
0.0114885   27208.5
0.011515   27216.7
0.0115416   27224.8
0.0115682   27232.8
0.0115949   27240.7
0.0116216   27248.6
0.0116484   27256.3
0.0116753   27264
0.0117022   27271.6
0.0117292   27279.1
0.0117562   27286.5
0.0117833   27293.8
0.0118105   27301
0.0118377   27308.1
0.011865   27315.2
0.0118924   27322.1
0.0119198   27329
0.0119473   27335.8
0.0119748   27342.5
0.0120024   27349.1
0.0120301   27355.6
0.0120579   27362
0.0120857   27368.4
0.0121135   27374.6
0.0121415   27380.8
0.0121695   27386.8
0.0121975   27392.8
0.0122256   27398.7
0.0122538   27404.5
0.0122821   27410.2
0.0123104   27415.8
0.0123388   27421.3
0.0123672   27426.7
0.0123958   27432
0.0124243   27437.3
0.012453   27442.4
0.0124817   27447.5
0.0125105   27452.5
0.0125393   27457.3
0.0125683   27462.1
0.0125972   27466.8
0.0126263   27471.4
0.0126554   27475.9
0.0126846   27480.3
0.0127138   27484.6
0.0127431   27488.8
0.0127725   27493
0.012802   27497
0.0128315   27501
0.0128611   27504.8
0.0128907   27508.6
0.0129205   27512.2
0.0129502   27515.8
0.0129801   27519.3
0.01301   27522.6
0.01304   27525.9
0.0130701   27529.1
0.0131002   27532.2
0.0131304   27535.2
0.0131607   27538.1
0.0131911   27540.9
0.0132215   27543.6
0.013252   27546.2
0.0132825   27548.8
0.0133132   27551.2
0.0133439   27553.5
0.0133746   27555.8
0.0134055   27557.9
0.0134364   27559.9
0.0134674   27561.9
0.0134984   27563.7
0.0135295   27565.5
0.0135607   27567.2
0.013592   27568.7
0.0136233   27570.2
0.0136548   27571.5
0.0136862   27572.8
0.0137178   27574
0.0137494   27575.1
0.0137811   27576
0.0138129   27576.9
0.0138448   27577.7
0.0138767   27578.4
0.0139087   27579
0.0139407   27579.5
0.0139729   27579.9
0.0140051   27580.2
0.0140374   27580.4
0.0140698   27580.5
0.0141022   27580.5
0.0141347   27580.4
0.0141673   27580.2
0.0142   27579.9
0.0142327   27579.5
0.0142656   27579
0.0142984   27578.4
0.0143314   27577.7
0.0143645   27576.9
0.0143976   27576
0.0144308   27575
0.0144641   27574
0.0144974   27572.8
0.0145308   27571.5
0.0145643   27570.1
0.0145979   27568.6
0.0146316   27567
0.0146653   27565.4
0.0146991   27563.6
0.014733   27561.7
0.014767   27559.7
0.0148011   27557.6
0.0148352   27555.5
0.0148694   27553.2
0.0149037   27550.8
0.014938   27548.3
0.0149725   27545.7
0.015007   27543
0.0150416   27540.3
0.0150763   27537.4
0.0151111   27534.4
0.0151459   27531.3
0.0151808   27528.1
0.0152158   27524.9
0.0152509   27521.5
0.0152861   27518
0.0153213   27514.4
0.0153567   27510.7
0.0153921   27506.9
0.0154276   27503
0.0154631   27499
0.0154988   27495
0.0155345   27490.8
0.0155703   27486.5
0.0156062   27482.1
0.0156422   27477.6
0.0156783   27473
0.0157144   27468.3
0.0157507   27463.5
0.015787   27458.6
0.0158234   27453.6
0.0158599   27448.5
0.0158965   27443.3
0.0159331   27438
0.0159698   27432.6
0.0160067   27427.1
0.0160436   27421.5
0.0160806   27415.7
0.0161177   27409.9
0.0161548   27404
0.0161921   27398
0.0162294   27391.9
0.0162668   27385.7
0.0163043   27379.3
0.0163419   27372.9
0.0163796   27366.4
0.0164174   27359.8
0.0164552   27353.1
0.0164932   27346.2
0.0165312   27339.3
0.0165693   27332.3
0.0166075   27325.1
0.0166458   27317.9
0.0166842   27310.6
0.0167227   27303.1
0.0167612   27295.6
0.0167999   27287.9
0.0168386   27280.2
0.0168774   27272.4
0.0169164   27264.4
0.0169554   27256.4
0.0169945   27248.2
0.0170337   27240
0.0170729   27231.6
0.0171123   27223.2
0.0171518   27214.6
0.0171913   27205.9
0.0172309   27197.2
0.0172707   27188.3
0.0173105   27179.4
0.0173504   27170.3
0.0173904   27161.1
0.0174305   27151.9
0.0174707   27142.5
0.017511   27133
0.0175514   27123.5
0.0175918   27113.8
0.0176324   27104
0.0176731   27094.1
0.0177138   27084.2
0.0177547   27074.1
0.0177956   27063.9
0.0178366   27053.6
0.0178778   27043.3
0.017919   27032.8
0.0179603   27022.2
0.0180017   27011.5
0.0180432   27000.7
0.0180848   26989.8
0.0181265   26978.9
0.0181683   26967.8
0.0182102   26956.6
0.0182522   26945.3
0.0182943   26933.9
0.0183365   26922.4
0.0183788   26910.8
0.0184211   26899.1
0.0184636   26887.3
0.0185062   26875.5
0.0185489   26863.5
0.0185916   26851.4
0.0186345   26839.2
0.0186775   26826.9
0.0187205   26814.5
0.0187637   26802
0.018807   26789.4
0.0188503   26776.7
0.0188938   26763.9
0.0189374   26751
0.018981   26738.1
