# r[Mpc/h]   xi(r)
229.063   -0.0784038
229.312   -0.0750997
229.562   -0.0771832
229.811   -0.0770557
230.06   -0.0743597
230.309   -0.0778474
230.559   -0.0750149
230.808   -0.0747813
231.057   -0.0775597
231.306   -0.0731461
231.556   -0.0759602
231.805   -0.0760105
232.054   -0.0723104
232.303   -0.0769817
232.553   -0.0736233
232.802   -0.072841
233.051   -0.0769414
233.3   -0.0713372
233.55   -0.074333
233.799   -0.0754564
234.048   -0.070097
234.297   -0.0758556
234.547   -0.0728692
234.796   -0.0703634
235.045   -0.0764308
235.294   -0.0700631
235.544   -0.071902
235.793   -0.0754988
236.042   -0.0680317
236.291   -0.0739228
236.541   -0.0731421
236.79   -0.0674445
237.039   -0.0754477
237.288   -0.0700068
237.538   -0.0684044
237.787   -0.0757062
238.036   -0.0670094
238.285   -0.0704601
238.535   -0.0743936
238.784   -0.0649895
239.033   -0.0728149
239.282   -0.071726
239.532   -0.0644432
239.781   -0.0746184
240.03   -0.0683156
240.279   -0.065411
240.529   -0.0752251
240.778   -0.0649464
241.027   -0.0675203
241.276   -0.0743498
241.526   -0.0623381
241.775   -0.0701395
242.024   -0.0720935
242.273   -0.0609701
242.523   -0.0725737
242.772   -0.0688618
243.021   -0.0610034
243.27   -0.0742381
243.52   -0.0652206
243.769   -0.0622992
244.018   -0.0747662
244.267   -0.0617472
244.517   -0.0645037
244.766   -0.0740415
245.015   -0.0589147
245.264   -0.0671587
245.514   -0.0721682
245.763   -0.0570284
246.012   -0.069804
246.261   -0.0694065
246.511   -0.0562107
246.76   -0.0720524
247.009   -0.0660972
247.258   -0.0564218
247.508   -0.0736337
247.757   -0.0625927
248.006   -0.0575018
248.255   -0.0744075
248.505   -0.0592034
248.754   -0.0592213
249.003   -0.0743529
249.252   -0.0561637
249.502   -0.0613305
249.751   -0.0735412
250   -0.0536209
